행정동명,총인구수(65세이상),남자인구수(65세이상),여자인구수(65세이상),65-69세 인구수,70-74세 인구수,75-79세 인구수,80-84세 인구수,85-89세 인구수,90-94세 인구수,95-99세 인구수,100세 이상 인구수,데이터기준일
김해시,68051,29723,38328,25607,16854,11233,8457,4293,1348,224,35,2022-07-31
진영읍,7014,3090,3924,2711,1768,1055,824,470,159,22,5,2022-07-31
주촌면,1487,728,759,634,341,200,181,93,36,2,0,2022-07-31
진례면,1901,861,1040,628,448,325,275,151,64,10,0,2022-07-31
한림면,2564,1156,1408,827,615,430,383,223,72,13,1,2022-07-31
생림면,1395,644,751,441,349,251,205,113,32,4,0,2022-07-31
상동면,994,477,517,371,261,148,122,56,27,6,3,2022-07-31
대동면,2258,1049,1209,772,579,376,301,148,63,16,3,2022-07-31
동상동,1828,822,1006,701,464,291,230,104,31,6,1,2022-07-31
회현동,2015,871,1144,695,528,366,258,110,55,3,0,2022-07-31
부원동,1770,798,972,673,482,288,198,103,20,5,1,2022-07-31
내외동,8378,3508,4870,3164,1923,1377,1172,562,152,24,4,2022-07-31
북부동,8315,3544,4771,3215,2048,1338,1004,522,158,27,3,2022-07-31
칠산서부동,1941,912,1029,746,466,333,233,129,28,4,2,2022-07-31
활천동,5713,2491,3222,2239,1428,947,642,347,90,19,1,2022-07-31
삼안동,4999,2189,2810,1886,1182,862,663,310,84,9,3,2022-07-31
불암동,1206,552,654,469,294,212,156,48,22,5,0,2022-07-31
장유1동,5767,2388,3379,2045,1482,1015,724,374,102,20,5,2022-07-31
장유2동,3512,1483,2029,1340,897,611,396,178,78,10,2,2022-07-31
장유3동,4994,2160,2834,2050,1299,808,490,252,75,19,1,2022-07-31
